Season,Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG
2021-2022,Bukayo Saka,eng ENG,"FW,MF",19,43,"3,343",78,82.5,37.1,40,82,19,3,23,2,1.77,61,42,+19,+0.51,-0.25,54.1,38.0,+16.1,+0.49,+0.75
2021-2022,Aaron Ramsdale,eng ENG,GK,23,37,"3,330",90,82.2,37.0,37,90,37,0,,5,1.89,66,41,+25,+0.68,+0.53,57.4,36.5,+20.9,+0.62,+2.13
2021-2022,Ben White,eng ENG,DF,23,37,"3,276",89,80.9,36.4,37,89,35,0,,2,1.82,57,39,+18,+0.49,-0.32,52.4,33.4,+19.0,+0.59,+1.27
2021-2022,Gabriel Magalhães,br BRA,DF,23,38,"3,261",86,82.3,36.2,37,88,33,1,18,0,1.92,62,39,+23,+0.63,+0.25,58.2,35.0,+23.3,+0.68,+2.81
2021-2022,Martin Ødegaard,no NOR,"MF,FW",22,40,"3,097",77,76.5,34.4,36,83,22,4,26,0,1.88,61,43,+18,+0.52,-0.14,51.0,33.6,+17.4,+0.56,+0.92
2021-2022,Granit Xhaka,ch SUI,"MF,DF",28,30,"2,451",82,61.9,27.2,29,83,23,1,35,0,1.84,53,35,+18,+0.66,+0.18,43.6,28.6,+15.0,+0.58,+0.59
2021-2022,Gabriel Martinelli,br BRA,"FW,MF",20,36,"2,328",65,57.5,25.9,26,82,13,10,20,7,1.75,38,28,+10,+0.39,-0.40,33.8,21.9,+12.0,+0.58,+0.41
2021-2022,Emile Smith Rowe,eng ENG,"MF,FW",21,37,"2,175",59,54.9,24.2,24,80,10,13,20,3,1.79,36,30,+6,+0.25,-0.76,30.5,29.0,+1.5,+0.07,-0.73
2021-2022,Kieran Tierney,sct SCO,DF,24,25,"2,151",86,53.1,23.9,24,87,20,1,56,5,1.72,33,24,+9,+0.38,-0.38,33.4,22.9,+10.5,+0.50,+0.24
2021-2022,Thomas Partey,gh GHA,MF,28,26,"2,103",81,53.1,23.4,24,86,17,2,23,2,2.04,41,25,+16,+0.68,+0.20,36.6,24.5,+12.1,+0.54,+0.36
2021-2022,Alexandre Lacazette,fr FRA,FW,30,36,"2,100",58,51.9,23.3,23,81,8,13,18,6,1.78,40,19,+21,+0.90,+0.72,34.6,19.8,+14.8,+0.75,+0.74
2021-2022,Cédric Soares,pt POR,DF,29,26,"1,855",71,45.8,20.6,21,83,15,5,24,12,1.89,32,29,+3,+0.15,-0.76,26.4,23.1,+3.2,+0.20,-0.34
2021-2022,Takehiro Tomiyasu,jp JPN,DF,22,22,"1,769",80,44.7,19.7,21,84,17,1,1,1,1.86,30,22,+8,+0.41,-0.33,27.4,22.1,+5.3,+0.28,-0.21
2021-2022,Albert Sambi Lokonga,be BEL,MF,21,24,"1,513",63,37.4,16.8,16,85,13,8,20,19,1.67,14,15,-1,-0.06,-0.98,17.5,14.2,+3.3,+0.26,-0.19
2021-2022,Nuno Tavares,pt POR,DF,21,28,"1,505",54,37.2,16.7,17,81,13,11,11,17,1.86,39,20,+19,+1.14,+0.92,21.8,17.0,+4.8,+0.37,-0.03
2021-2022,Rob Holding,eng ENG,DF,25,21,"1,343",64,33.2,14.9,14,85,12,7,22,22,2.10,34,16,+18,+1.21,+0.97,14.0,12.9,+1.0,+0.11,-0.37
2021-2022,Eddie Nketiah,eng ENG,FW,22,27,"1,231",46,30.4,13.7,13,80,7,14,14,5,1.74,28,21,+7,+0.51,-0.06,16.0,12.6,+3.4,+0.37,-0.03
2021-2022,Pierre-Emerick Aubameyang,ga GAB,FW,32,15,"1,112",74,28.1,12.4,13,83,7,2,18,0,1.73,23,16,+7,+0.57,-0.03,16.6,16.4,+0.2,+0.02,-0.53
2021-2022,Mohamed Elneny,eg EGY,MF,29,17,"1,057",62,26.7,11.7,11,88,10,6,14,20,1.94,33,18,+15,+1.28,+0.94,15.7,13.8,+1.9,+0.21,-0.23
2021-2022,Nicolas Pépé,ci CIV,"FW,MF",26,23,966,42,24.4,10.7,8,90,8,15,16,15,2.04,24,10,+14,+1.30,+0.94,13.3,9.9,+3.4,+0.44,+0.06
2021-2022,Bernd Leno,de GER,GK,29,8,720,90,17.8,8.0,8,90,8,0,,31,1.50,11,11,0,0.00,-0.68,3.1,9.2,-6.1,-1.52,-2.13
2021-2022,Ainsley Maitland-Niles,eng ENG,MF,23,11,478,43,12.1,5.3,4,88,3,7,18,9,2.27,9,4,+5,+0.94,+0.40,3.8,6.1,-2.3,-0.77,-1.26
2021-2022,Calum Chambers,eng ENG,DF,26,5,376,75,9.3,4.2,3,87,2,2,58,6,1.40,7,7,0,0.00,-0.65,1.1,5.6,-4.5,-2.39,-2.92
2021-2022,Sead Kolašinac,ba BIH,DF,28,5,272,54,6.7,3.0,3,90,3,2,1,3,1.80,8,5,+3,+0.99,+0.47,0.2,4.4,-4.2,-4.14,-4.66
2021-2022,Pablo Marí,es ESP,DF,27,3,270,90,6.7,3.0,3,90,3,0,,7,1.00,3,4,-1,-0.33,-0.99,1.6,4.3,-2.8,-1.38,-1.87
2021-2022,Folarin Balogun,us USA,FW,20,4,133,33,3.4,1.5,2,57,0,2,10,1,1.50,3,2,+1,+0.68,+0.09,0.4,0.9,-0.5,-0.63,-1.04
2021-2022,Charlie Patino,eng ENG,MF,17,2,79,40,2.0,0.9,1,68,0,1,11,8,1.50,1,0,+1,+1.14,-0.66,,,,,
2021-2022,Reiss Nelson,eng ENG,FW,21,1,20,20,0.6,0.2,0,,0,1,20,1,0.00,0,1,-1,-4.50,-4.87,0.5,0.7,-0.2,-0.96,-1.36
2021-2022,Karl Jakob Hein,ee EST,GK,19,0,,,,,0,,0,0,,3,,,,,,,,,,,
2021-2022,Salah Oulad M'Hand,nl NED,MF,17,0,,,,,0,,0,0,,9,,,,,,,,,,,
2021-2022,Mazeed Ogungbo,ie IRL,DF,18,0,,,,,0,,0,0,,2,,,,,,,,,,,
2021-2022,Alex Kirk,eng ENG,DF,18,0,,,,,0,,0,0,,1,,,,,,,,,,,
2021-2022,Héctor Bellerín,es ESP,"DF,MF",26,0,,,,,0,,0,0,,1,,,,,,,,,,,
2021-2022,Miguel Azeez,eng ENG,MF,18,0,,,,,0,,0,0,,4,,,,,,,,,,,
2021-2022,Omari Hutchinson,eng ENG,"FW,MF",17,0,,,,,0,,0,0,,10,,,,,,,,,,,
2021-2022,Zak Swanson,eng ENG,DF,20,0,,,,,0,,0,0,,15,,,,,,,,,,,
2021-2022,Arthur Okonkwo,eng ENG,GK,19,0,,,,,0,,0,0,,7,,,,,,,,,,,
2021-2022,Marcelo Flores,mx MEX,MF,17,0,,,,,0,,0,0,,1,,,,,,,,,,,
2021-2022,Zach Awe,eng ENG,DF,17,0,,,,,0,,0,0,,1,,,,,,,,,,,
2021-2022,Mika Biereth,dk DEN,FW,18,0,,,,,0,,0,0,,4,,,,,,,,,,,
2021-2022,Ryan Alebiosu,eng ENG,"DF,MF",19,0,,,,,0,,0,0,,2,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Gabriel Magalhães,br BRA,DF,24,48,"4,134",86,93.1,45.9,45,90,43,3,22,1,2.10,99,47,+52,+1.13,+1.72,83.5,45.4,+38.1,+0.88,+1.01
2022-2023,Bukayo Saka,eng ENG,FW,20,48,"3,733",78,85.8,41.5,42,84,24,6,34,0,2.17,86,46,+40,+0.96,-0.79,72.4,44.0,+28.3,+0.72,-0.66
2022-2023,Aaron Ramsdale,eng ENG,GK,24,41,"3,720",91,85.5,41.3,41,91,41,0,,6,2.15,90,46,+44,+1.06,-0.14,76.2,44.4,+31.8,+0.78,-0.34
2022-2023,Granit Xhaka,ch SUI,MF,29,47,"3,692",79,83.2,41.0,43,84,30,4,20,0,2.13,86,42,+44,+1.07,+0.35,72.9,42.8,+30.1,+0.77,-0.31
2022-2023,Ben White,eng ENG,DF,24,46,"3,461",75,78.0,38.5,39,83,22,7,33,3,2.20,86,38,+48,+1.25,+0.84,70.9,41.4,+29.5,+0.78,-0.21
2022-2023,Gabriel Martinelli,br BRA,FW,21,46,"3,427",75,77.2,38.1,40,82,21,6,26,1,2.13,82,40,+42,+1.10,+0.39,69.7,41.6,+28.1,+0.78,-0.17
2022-2023,Martin Ødegaard,no NOR,MF,23,45,"3,387",75,76.3,37.6,39,83,14,6,23,2,2.16,85,39,+46,+1.22,+0.66,71.7,39.5,+32.2,+0.87,+0.26
2022-2023,William Saliba,fr FRA,DF,21,33,"2,812",85,63.3,31.2,32,86,29,1,45,4,2.15,66,32,+34,+1.09,+0.20,56.2,29.8,+26.4,+0.88,+0.18
2022-2023,Thomas Partey,gh GHA,MF,29,40,"2,698",67,60.8,30.0,29,84,21,11,24,3,2.15,70,29,+41,+1.37,+0.77,56.9,33.2,+23.7,+0.81,0.00
2022-2023,Oleksandr Zinchenko,ua UKR,DF,25,33,"2,396",73,54.0,26.6,28,82,9,5,23,1,2.09,60,31,+29,+1.09,+0.16,48.6,30.1,+18.5,+0.73,-0.19
2022-2023,Gabriel Jesus,br BRA,FW,25,33,"2,337",71,54.9,26.0,27,82,11,6,22,0,2.15,57,23,+34,+1.31,+0.65,48.8,24.6,+24.3,+0.94,+0.29
2022-2023,Eddie Nketiah,eng ENG,FW,23,39,"1,877",48,42.3,20.9,18,89,15,21,13,3,2.05,37,23,+14,+0.67,-0.59,35.7,17.8,+17.9,+1.00,+0.31
2022-2023,Kieran Tierney,sct SCO,DF,25,36,"1,471",41,33.1,16.3,15,77,6,21,15,12,2.42,24,17,+7,+0.43,-0.88,25.5,14.3,+11.2,+0.79,-0.04
2022-2023,Fabio Vieira,pt POR,"MF,FW",22,33,"1,421",43,32.0,15.8,14,81,5,19,15,14,2.00,27,15,+12,+0.76,-0.37,25.8,12.1,+13.6,+1.04,+0.31
2022-2023,Rob Holding,eng ENG,DF,26,24,"1,404",59,31.6,15.6,15,85,13,9,14,25,2.17,29,20,+9,+0.58,-0.64,26.4,16.8,+9.6,+0.75,-0.08
2022-2023,Takehiro Tomiyasu,jp JPN,DF,23,31,"1,233",40,28.3,13.7,13,74,6,18,15,2,2.26,26,15,+11,+0.80,-0.38,23.7,12.3,+11.4,+0.97,+0.21
2022-2023,Leandro Trossard,be BEL,FW,27,22,"1,071",49,24.6,11.9,11,66,1,11,31,0,1.73,29,17,+12,+1.01,-0.09,21.0,12.2,+8.8,+0.81,-0.01
2022-2023,Jorginho,it ITA,MF,30,16,989,62,23.7,11.0,11,78,6,5,25,5,1.69,23,14,+9,+0.82,-0.34,16.7,11.1,+5.5,+0.50,-0.41
2022-2023,Albert Sambi Lokonga,be BEL,MF,22,15,858,57,19.3,9.5,10,78,4,5,16,12,2.20,11,9,+2,+0.21,-1.00,14.9,5.6,+9.3,+1.25,+0.52
2022-2023,Matt Turner,us USA,GK,28,7,630,90,14.2,7.0,7,90,7,0,,39,2.29,12,4,+8,+1.14,+1.44,11.0,5.1,+5.9,+1.19,+0.53
2022-2023,Reiss Nelson,eng ENG,FW,22,18,600,33,14.1,6.7,5,75,2,13,17,12,2.05,17,9,+8,+1.20,+0.22,10.9,6.2,+4.7,+0.83,+0.01
2022-2023,Jakub Kiwior,pl POL,DF,22,8,497,62,11.4,5.5,6,80,3,2,8,13,1.75,12,8,+4,+0.72,-0.40,8.5,8.7,-0.2,-0.03,-0.96
2022-2023,Mohamed Elneny,eg EGY,MF,30,8,354,44,8.0,3.9,4,83,3,4,6,4,2.63,7,5,+2,+0.51,-0.55,3.9,1.4,+2.5,+1.27,+0.48
2022-2023,Marquinhos,br BRA,MF,19,6,217,36,4.9,2.4,3,62,0,3,10,17,2.50,5,3,+2,+0.83,-0.19,4.3,1.5,+2.8,+1.72,+0.94
2022-2023,Emile Smith Rowe,eng ENG,"MF,FW",22,14,208,15,4.8,2.3,0,,0,14,15,12,2.21,4,5,-1,-0.43,-1.58,3.1,2.7,+0.4,+0.19,-0.66
2022-2023,Cédric Soares,pt POR,DF,30,4,122,31,2.9,1.4,1,90,1,3,11,14,2.25,2,3,-1,-0.74,-1.80,0.6,0.0,+0.6,+1.68,+0.87
2022-2023,Karl Jakob Hein,ee EST,GK,20,1,90,90,2.0,1.0,1,90,1,0,,8,0.00,1,3,-2,-2.00,,,,,,
2022-2023,Ethan Nwaneri,eng ENG,FW,15,1,1,1,0.0,0.0,0,,0,1,1,0,3.00,0,0,0,0.00,-1.18,0.0,0.0,0.0,0.00,-0.78
2022-2023,Nicolas Pépé,ci CIV,"FW,MF",27,0,,,,,0,,0,0,,2,,,,,,,,,,,
2022-2023,Reuell Walters,eng ENG,DF,17,0,,,,,0,,0,0,,9,,,,,,,,,,,
2022-2023,Amario Duberry,eng ENG,FW,17,0,,,,,0,,0,0,,6,,,,,,,,,,,
2022-2023,Lino Sousa,eng ENG,DF,17,0,,,,,0,,0,0,,1,,,,,,,,,,,
