Season,Player Name,Gross P/W (USD),Gross P/Y (USD),Adj. Gross (2025 USD),Position,Age,Country
2020-2021,Eddie Nketiah,"£ 45,000","£ 2,340,000","£ 2,696,949",F,21,England
2020-2021,Rob Holding,"£ 40,000","£ 2,080,000","£ 2,397,288",D,25,England
2020-2021,William Saliba,"£ 40,000","£ 2,080,000","£ 2,397,288",D,19,France
2020-2021,Ainsley Maitland-Niles,"£ 35,000","£ 1,820,000","£ 2,097,627",M,23,England
2020-2021,Mathew Ryan,"£ 35,000","£ 1,820,000","£ 2,097,627",K,28,Australia
2020-2021,Joe Willock,"£ 20,000","£ 1,040,000","£ 1,198,644",M,21,England
2020-2021,Rúnar Alex Rúnarsson,"£ 15,000","£ 780,000","£ 898,983",K,25,Iceland
2020-2021,Reiss Nelson,"£ 15,000","£ 780,000","£ 898,983",F,20,England
2020-2021,Emile Smith Rowe,"£ 15,000","£ 780,000","£ 898,983",F,20,England
2020-2021,Matt Macey,"£ 10,000","£ 520,000","£ 599,322",K,26,England
2020-2021,Dejan Iliev,"£ 5,769","£ 300,000","£ 345,763",K,25,North Macedonia
2021-2022,Pierre-Emerick Aubameyang,"£ 250,000","£ 13,000,000","£ 13,883,216",F,32,Gabon
2021-2022,Thomas Partey,"£ 200,000","£ 10,400,000","£ 11,106,573",M,28,Ghana
2021-2022,Alexandre Lacazette,"£ 182,115","£ 9,470,000","£ 10,113,389",F,30,France
2021-2022,Nicolas Pépé,"£ 140,000","£ 7,280,000","£ 7,774,601",F,26,Cote d'Ivoire
2021-2022,Granit Xhaka,"£ 120,000","£ 6,240,000","£ 6,663,944",M,29,Switzerland
2021-2022,Ben White,"£ 120,000","£ 6,240,000","£ 6,663,944",D,24,England
2021-2022,Martin Ødegaard,"£ 115,000","£ 5,980,000","£ 6,386,279",F,23,Norway
2021-2022,Kieran Tierney,"£ 110,000","£ 5,720,000","£ 6,108,615",D,24,Scotland
2021-2022,Bernd Leno,"£ 100,000","£ 5,200,000","£ 5,553,286",K,29,Germany
2021-2022,Sead Kolasinac,"£ 100,000","£ 5,200,000","£ 5,553,286",D,28,Bosnia-Herzegovina
2021-2022,Pablo Marí,"£ 85,000","£ 4,420,000","£ 4,720,293",D,28,Spain
2021-2022,Cédric Soares,"£ 75,000","£ 3,900,000","£ 4,164,965",D,30,Portugal
2021-2022,Bukayo Saka,"£ 70,000","£ 3,640,000","£ 3,887,300",M,20,England
2021-2022,Gabriel Martinelli,"£ 70,000","£ 3,640,000","£ 3,887,300",F,20,Brazil
2021-2022,Aaron Ramsdale,"£ 60,000","£ 3,120,000","£ 3,331,972",K,23,England
2021-2022,Takehiro Tomiyasu,"£ 55,000","£ 2,860,000","£ 3,054,307",D,23,Japan
2021-2022,Gabriel Magalhães,"£ 50,000","£ 2,600,000","£ 2,776,643",D,24,Brazil
2021-2022,Mohamed Elneny,"£ 50,000","£ 2,600,000","£ 2,776,643",M,29,Egypt
2021-2022,Calum Chambers,"£ 50,000","£ 2,600,000","£ 2,776,643",D,26,England
2021-2022,Albert Sambi Lokonga,"£ 50,000","£ 2,600,000","£ 2,776,643",M,22,Belgium
2021-2022,Eddie Nketiah,"£ 45,000","£ 2,340,000","£ 2,498,979",F,22,England
2021-2022,Rob Holding,"£ 40,000","£ 2,080,000","£ 2,221,315",D,26,England
2021-2022,Emile Smith Rowe,"£ 40,000","£ 2,080,000","£ 2,221,315",F,21,England
2021-2022,Ainsley Maitland-Niles,"£ 35,000","£ 1,820,000","£ 1,943,650",M,24,England
2021-2022,Folarin Balogun,"£ 30,000","£ 1,560,000","£ 1,665,986",F,20,England
2021-2022,Nuno Tavares,"£ 27,000","£ 1,404,000","£ 1,499,387",D,22,Portugal
2021-2022,Arthur Okonkwo,"£ 1,538","£ 80,000","£ 85,435",K,20,England
2022-2023,Gabriel Jesus,"£ 265,000","£ 13,780,000","£ 13,780,000",F,25,Brazil
2022-2023,Thomas Partey,"£ 200,000","£ 10,400,000","£ 10,400,000",M,29,Ghana
2022-2023,Bukayo Saka,"£ 195,000","£ 10,140,000","£ 10,140,000",M,21,England
2022-2023,Gabriel Martinelli,"£ 180,000","£ 9,360,000","£ 9,360,000",F,21,Brazil
2022-2023,Oleksandr Zinchenko,"£ 150,000","£ 7,800,000","£ 7,800,000",D,26,Ukraine
2022-2023,Aaron Ramsdale,"£ 120,000","£ 6,240,000","£ 6,240,000",K,25,England
2022-2023,Granit Xhaka,"£ 120,000","£ 6,240,000","£ 6,240,000",M,30,Switzerland
2022-2023,Ben White,"£ 120,000","£ 6,240,000","£ 6,240,000",D,25,England
2022-2023,Martin Ødegaard,"£ 115,000","£ 5,980,000","£ 5,980,000",F,24,Norway
2022-2023,Jorginho,"£ 110,000","£ 5,720,000","£ 5,720,000",M,31,Italy
2022-2023,Kieran Tierney,"£ 110,000","£ 5,720,000","£ 5,720,000",D,25,Scotland
2022-2023,Eddie Nketiah,"£ 100,000","£ 5,200,000","£ 5,200,000",F,23,England
2022-2023,Gabriel Magalhães,"£ 100,000","£ 5,200,000","£ 5,200,000",D,25,Brazil
2022-2023,Leandro Trossard,"£ 90,000","£ 4,680,000","£ 4,680,000",F,28,Belgium
2022-2023,Cédric Soares,"£ 75,000","£ 3,900,000","£ 3,900,000",D,31,Portugal
2022-2023,Reiss Nelson,"£ 60,000","£ 3,120,000","£ 3,120,000",F,23,England
2022-2023,Jakub Kiwior,"£ 58,000","£ 3,016,000","£ 3,016,000",D,22,Poland
2022-2023,Takehiro Tomiyasu,"£ 55,000","£ 2,860,000","£ 2,860,000",D,24,Japan
2022-2023,Mohamed Elneny,"£ 55,000","£ 2,860,000","£ 2,860,000",M,30,Egypt
2022-2023,Albert Sambi Lokonga,"£ 50,000","£ 2,600,000","£ 2,600,000",M,22,Belgium
2022-2023,Fábio Vieira,"£ 45,000","£ 2,340,000","£ 2,340,000",F,22,Portugal
2022-2023,Rob Holding,"£ 40,000","£ 2,080,000","£ 2,080,000",D,27,England
2022-2023,William Saliba,"£ 40,000","£ 2,080,000","£ 2,080,000",D,21,France
2022-2023,Emile Smith Rowe,"£ 40,000","£ 2,080,000","£ 2,080,000",F,22,England
2022-2023,Matt Turner,"£ 35,000","£ 1,820,000","£ 1,820,000",K,28,United States
2022-2023,Marquinhos,"£ 30,000","£ 1,560,000","£ 1,560,000",F,19,Brazil
2023-2024,Kai Havertz,"£ 280,000","£ 14,560,000","£ 14,560,000",F,24,Germany
2023-2024,Gabriel Jesus,"£ 265,000","£ 13,780,000","£ 13,780,000",F,26,Brazil
2023-2024,Declan Rice,"£ 240,000","£ 12,480,000","£ 12,480,000",M,25,England
2023-2024,Martin Ødegaard,"£ 240,000","£ 12,480,000","£ 12,480,000",F,25,Norway
2023-2024,Thomas Partey,"£ 200,000","£ 10,400,000","£ 10,400,000",M,30,Ghana
2023-2024,Bukayo Saka,"£ 195,000","£ 10,140,000","£ 10,140,000",F,22,England
2023-2024,William Saliba,"£ 190,000","£ 9,880,000","£ 9,880,000",D,22,France
2023-2024,Gabriel Martinelli,"£ 180,000","£ 9,360,000","£ 9,360,000",F,22,Brazil
2023-2024,Oleksandr Zinchenko,"£ 150,000","£ 7,800,000","£ 7,800,000",D,27,Ukraine
2023-2024,Ben White,"£ 150,000","£ 7,800,000","£ 7,800,000",D,26,England
2023-2024,Aaron Ramsdale,"£ 120,000","£ 6,240,000","£ 6,240,000",K,25,England
2023-2024,Jorginho,"£ 110,000","£ 5,720,000","£ 5,720,000",M,32,Italy
2023-2024,Takehiro Tomiyasu,"£ 100,000","£ 5,200,000","£ 5,200,000",D,25,Japan
2023-2024,Reiss Nelson,"£ 100,000","£ 5,200,000","£ 5,200,000",F,24,England
2023-2024,Gabriel Magalhães,"£ 100,000","£ 5,200,000","£ 5,200,000",D,26,Brazil
2023-2024,Eddie Nketiah,"£ 100,000","£ 5,200,000","£ 5,200,000",F,24,England
2023-2024,Leandro Trossard,"£ 90,000","£ 4,680,000","£ 4,680,000",F,29,Belgium
2023-2024,Jurrien Timber,"£ 90,000","£ 4,680,000","£ 4,680,000",D,22,Netherlands
2023-2024,David Raya,"£ 85,000","£ 4,420,000","£ 4,420,000",K,28,Spain
2023-2024,Cédric Soares,"£ 75,000","£ 3,900,000","£ 3,900,000",D,32,Portugal
2023-2024,Jakub Kiwior,"£ 58,000","£ 3,016,000","£ 3,016,000",D,23,Poland
2023-2024,Mohamed Elneny,"£ 55,000","£ 2,860,000","£ 2,860,000",M,31,Egypt
2023-2024,Fábio Vieira,"£ 45,000","£ 2,340,000","£ 2,340,000",F,23,Portugal
2023-2024,Emile Smith Rowe,"£ 40,000","£ 2,080,000","£ 2,080,000",F,23,England
2023-2024,Marquinhos,"£ 30,000","£ 1,560,000","£ 1,560,000",F,20,Brazil
2023-2024,Karl Hein,"£ 10,000","£ 520,000","£ 520,000",K,22,Estonia
2023-2024,Kieran Tierney,,,,D,26,Scotland
2024-2025,Kai Havertz,"£ 280,000","£ 14,560,000","£ 14,560,000",F,25,Germany
2024-2025,Gabriel Jesus,"£ 265,000","£ 13,780,000","£ 13,780,000",F,27,Brazil
2024-2025,Martin Ødegaard,"£ 240,000","£ 12,480,000","£ 12,480,000",F,26,Norway
2024-2025,Declan Rice,"£ 240,000","£ 12,480,000","£ 12,480,000",M,26,England
2024-2025,Thomas Partey,"£ 200,000","£ 10,400,000","£ 10,400,000",M,31,Ghana
2024-2025,Bukayo Saka,"£ 195,000","£ 10,140,000","£ 10,140,000",F,23,England
2024-2025,William Saliba,"£ 190,000","£ 9,880,000","£ 9,880,000",D,23,France
2024-2025,Gabriel Martinelli,"£ 180,000","£ 9,360,000","£ 9,360,000",F,23,Brazil
2024-2025,Ben White,"£ 150,000","£ 7,800,000","£ 7,800,000",D,27,England
2024-2025,Oleksandr Zinchenko,"£ 150,000","£ 7,800,000","£ 7,800,000",D,28,Ukraine
2024-2025,Mikel Merino,"£ 130,000","£ 6,760,000","£ 6,760,000",M,28,Spain
2024-2025,Riccardo Calafiori,"£ 120,000","£ 6,240,000","£ 6,240,000",D,22,Italy
2024-2025,Raheem Sterling,"£ 110,000","£ 5,720,000","£ 5,720,000",F,30,England
2024-2025,Jorginho,"£ 110,000","£ 5,720,000","£ 5,720,000",M,33,Italy
2024-2025,Kieran Tierney,"£ 110,000","£ 5,720,000","£ 5,720,000",D,27,Scotland
2024-2025,Takehiro Tomiyasu,"£ 100,000","£ 5,200,000","£ 5,200,000",D,26,Japan
2024-2025,David Raya,"£ 100,000","£ 5,200,000","£ 5,200,000",K,29,Spain
2024-2025,Gabriel Magalhães,"£ 100,000","£ 5,200,000","£ 5,200,000",D,27,Brazil
2024-2025,Jurrien Timber,"£ 90,000","£ 4,680,000","£ 4,680,000",D,23,Netherlands
2024-2025,Leandro Trossard,"£ 90,000","£ 4,680,000","£ 4,680,000",F,30,Belgium
2024-2025,Jakub Kiwior,"£ 58,000","£ 3,016,000","£ 3,016,000",D,24,Poland
2024-2025,Neto,"£ 50,000","£ 2,600,000","£ 2,600,000",K,35,Brazil
2024-2025,Ethan Nwaneri,"£ 6,000","£ 312,000","£ 312,000",F,17,England
2024-2025,Myles Lewis-Skelly,"£ 4,000","£ 208,000","£ 208,000",D,18,England
2024-2025,Karl Hein,,,,K,22,Estonia
2024-2025,Fábio Vieira,,,,F,24,Portugal
2024-2025,Albert Sambi Lokonga,,,,M,24,Belgium
2024-2025,Maldini Kacurri,,,,D,19,Albania
2024-2025,Nuno Tavares,,,,D,24,Portugal
